voice_id,language,gender,name,preview_audio,support_pause,emotion_support,support_interactive_avatar
4b9b8a0176ae40b09a8ae1eaa26c509b,Dutch,male,Ernestine -  Natural,https://static.heygen.ai/voice_preview/kWJou6YDCV4M73XqKmtxjQ.wav,False,False,False
4bd875d510f5461a9e228e1cbde2d545,Portuguese,Female,Camila - Friendly,https://static.heygen.ai/voice_preview/a0fbec40f1844a78801f5577b2730fb0.wav,False,False,False
4d77dce8ebef4244813b40ce2cd3f999,Gujarati,Female,Dhwani - Natural,https://resource.heygen.ai/text_to_speech/C8uNfgttBBnzxU22mgaJkD.wav,False,False,True
4db64fcc025a418dbf6f46cd94dcc404,English,male,lucas_cafe,https://resource.heygen.ai/text_to_speech/2vYwxdcTu4BeKuUiyE59pD.mp3,False,False,False
4e36239454b2414d85c9dbaa18bcf228,English,Male,Mitchell - Natural,https://static.heygen.ai/voice_preview/cYt7FDjZng3rszpVXewS9U.wav,False,False,True
4e5f51f94b7642ed9b065e506dc1c296,German,Female,Maja - Newscaster,https://static.heygen.ai/voice_preview/a2280ce094aa4bc7be6d8bc108271aff.wav,False,False,True
4ebba0f2f4944d2aa75d21552764c638,Hebrew,female,Avigail - Calm,https://resource.heygen.ai/text_to_speech/hjcSt8bTiAKBgpbBAq9ham.mp3,False,False,False
4efd43386dc844c29d532cb5d5690f86,Norwegian,Male,Finn - Natural,https://resource.heygen.ai/text_to_speech/Dhjhi6sourj9yuCGa8zdhG.wav,False,False,True
508da0af14044417a916cba1d00f632a,Persian,Male,Farid,https://resource.heygen.ai/text_to_speech/nYWRcxXeKRk24GPYirrgV3.wav,False,False,True
50c32e9b096e46218707499b8e7abcf0,Spanish,Female,Maria - Serious,https://static.heygen.ai/voice_preview/Kwi6mxi89bTQxJYbQWhkHP.wav,False,False,False
50f8370a02fe45099636687d0d21750d,French,Female,Eloise - Natural,https://static.heygen.ai/voice_preview/50f8370a02fe45099636687d0d21750d.wav,False,False,True
51ce3a14b89947bcb6c13d5e5062331a,French,Male,Antoine - Natural,https://static.heygen.ai/voice_preview/276db23bd9804f549a94f13f1059e724.wav,False,False,True
5204c60a86e441c5b34bfd5eb856b2f9,Hebrew,male,Aharon - Calm,https://resource.heygen.ai/text_to_speech/5bMbRamCqSUhMMimmZRYsT.mp3,False,False,False
527d87101417484e979a14e038f01b49,Arabic,Female,Noura - Natural,https://static.heygen.ai/voice_preview/65391dadd20a4e2890865b062aa542c3.wav,False,False,True
548bb01a597d4a77b8d170736604b690,Hebrew,male,Isaac - Natural,https://resource.heygen.ai/text_to_speech/EL8qfAmzZMKiaYTf45yMLZ.mp3,False,False,False
5531756441d34f408e7e60821f2e52a6,French,Female,Denise - Friendly,https://static.heygen.ai/voice_preview/bfb737ce9a614f909665717363762c4d.wav,False,False,True
5646809bd96e40e9b374ba1d734ceb69,Slovak,Male,Lukas - Natural,https://static.heygen.ai/voice_preview/f1166fbd68b34cfbb5a68d1f5653630c.wav,False,False,True
56d64381f02649839e3d4b07276a7fb1,English,Female,kim_car1_openai,https://resource.heygen.ai/text_to_speech/kyuruMewzD5CaLAo9VV6Nn.mp3,False,False,False
583838e570fe4e00b646082785c12260,Latvian,Female,Everita - Gently,https://resource.heygen.ai/text_to_speech/jW87pPK5crw8UPTADX5L6K.wav,False,False,True
588304e6ada44ce8b56edd087aa333e6,Indonesian,Female,Ratna - Warm,https://static.heygen.ai/voice_preview/9prM2eNqdsUTZ2ysC9jZXy.wav,False,False,False
58e519e106414e13a308be0b98e221ab,Spanish,Female,Irene - Natural,https://static.heygen.ai/voice_preview/oXd685KxYjCydFUJhMY9jG.wav,False,False,True
592b25f402ff41a295aeb3440f114179,Swedish,Female,Sofie - Natural,https://static.heygen.ai/voice_preview/neR5E32gY6E6oWxSV3mXLg.wav,False,False,True
5a3cff20eddd491ca1196ffd1a868fdb,English,male,DARAN_INSIDE_2_with_mic,https://resource.heygen.ai/text_to_speech/w5bNBpz3ijrLxwBZ5aCueF.mp3,False,False,False
5c0956259f3d4c659573a3a3898699ef,French,Male,Yves - Newscaster,https://static.heygen.ai/voice_preview/5b17d0a01f6f45dab6cc7f3dd27decdd.wav,False,False,True
5d3e04e2972b4019b68d18d336800615,Danish,Male,Mads - Natural,https://static.heygen.ai/voice_preview/rhfHirLMn4d3zfVPwaHAvX.wav,False,False,False
5d61b4c7e1894f4c9fc045be54528ead,Spanish,Female,Lucia - Friendly,https://static.heygen.ai/voice_preview/NnXhEBd7PwViBzeUPBGZzG.wav,False,False,False
5dddee02307b4f49a17c123c120a60ca,English,Male,Luke - Professional,https://static.heygen.ai/voice_preview/ZSJ6hYck7uD4RFDbTqbtvE.wav,False,False,True
5e323be21853489591cc589f90e24010,Georgian,Male,Giorgi - Natural,https://resource.heygen.ai/text_to_speech/UKTzv9RWAkFJERPWfrVSHd.wav,False,False,True
